drug_name,mapping
"BRAUNOL*7,5% 20FL 500ML",Braunol 10 % Unguento
"AMUKINE MED*SOL CUT 500ML0,05%","Amukine Med 0,05% soluzione cutanea"
FARVICETT*SOL 400BUST 25ML,"FARVICETT 0,015%+0,15%** soluzione cutanea"
DICLOFENAC HEXAL*IM 5F 75MG3ML,Diclofenac Hexal 100 mg supposte
XENETIX 350*FL 200ML 350MG/ML,XENETIX 300 mgI/ml soluzione iniettabile
XENETIX 350*FL 500ML 350MG/ML,XENETIX 300 mgI/ml soluzione iniettabile
NEOMEDIL*SOL CUT BRUNA 12FL 1L,"NEOMEDIL 0,25%+70% soluzione cutanea"
APROVEL*28CPR 150MG,Aprovel 150 mg compresse
MABTHERA*EV 2FL 100MG 10ML,MabThera 1400 mg soluzione per iniezione sottocutanea
MABTHERA*EV 1FL 500MG 50ML,MabThera 1400 mg soluzione per iniezione sottocutanea
"MABTHERA*SC 1FL 1400MG/11,7ML",MabThera 1400 mg soluzione per iniezione sottocutanea
MIOZAC*INFUS FL 250MG 20ML,MIOZAC 250 mg/ 20 ml soluzione per infusione endovenosa
HUMALOG*SC 1FL 10ML 100U/ML,Humalog 100** **unità/ml soluzione iniettabile in** **flaconcino
DACARBAZINA MEDAC*10FL 100MG,Dacarbazina medac 1000 mg polvere per soluzione per infusione
DACARBAZINA MEDAC*10FL 200MG,Dacarbazina medac 200 mg polvere per soluzione iniettabile o per infusione
DACARBAZINA MEDAC*1FL 500MG,Dacarbazina medac 500 mg polvere per soluzione per infusione
PLAVIX*30CPR RIV 300MG,Plavix 300 mg compresse rivestite con film
TIROSINT*50CPR 100MCG,TIROSINT 100 microgrammi/1 ml soluzione orale
TIROSINT*50CPR 50MCG,TIROSINT 50 microgrammi/1 ml soluzione orale
ALIFLUS*DISKUS 50+500 INAL 60D,ALIFLUS 25 microgrammi/50 microgrammi/dose sospensione pressurizzata per inalazione
ZEFFIX*28CPR RIV 100MG,Zeffix 100 mg compresse rivestite con film
ACICLOVIR MY*CREMA 3G 5%,Aciclovir Mylan Generics 5% crema
ACETILCISTEINA EG*30CPR EFF600,ACETILCISTEINA EG 600 mg compresse effervescenti
HERCEPTIN*EV 1FL 150MG,Herceptin 150 mg polvere per concentrato per soluzione per infusione
HERCEPTIN*SC 1FL 600MG/5ML,Herceptin 600 mg soluzione iniettabile in flaconcino
"GADOVIST*FL 15ML 1,0MMOL/ML","Gadovist** **1,0mmol/ml soluzione iniettabile"
NEXIUM*14CPR GASTR 20MG,Nexium 20 mg compresse gastroresistenti
RAPAMUNE*100CPR RIV 1MG,Rapamune 1 mg compresse rivestite
FUROSEMIDE MY*30CPR 25MG,Furosemide Mylan Generics 25 mg compresse
DEPALGOS*28CPR RIV 5MG+325MG,DEPALGOS 5 mg + 325 mg compresse rivestite con film
DEPALGOS*28CPR RIV 10MG+325MG,DEPALGOS 10 mg + 325 mg compresse rivestite con film
DEPALGOS*28CPR RIV 20MG+325MG,DEPALGOS 20 mg + 325 mg compresse rivestite con film
